"","franchise","league","division","year","attendance","runs.scored","runs.allowed","wins","losses","games.behind"
"1","BAL","AL","EAST",69,1062069,779,517,109,53,0
"2","BOS","AL","EAST",69,1833246,743,736,87,75,22
"3","CLE","AL","EAST",69,619970,573,717,62,99,46.5
"4","DET","AL","EAST",69,1577481,701,601,90,72,19
"5","NYA","AL","EAST",69,1067996,562,587,80,81,28.5
"6","WAS","AL","EAST",69,918106,694,644,86,76,23
"7","CAL","AL","WEST",69,758388,528,652,71,91,26
"8","CHIA","AL","WEST",69,589546,625,723,68,94,29
"9","KC","AL","WEST",69,902414,586,688,69,93,28
"10","MIN","AL","WEST",69,1349328,790,618,97,65,0
"11","OAK","AL","WEST",69,778232,740,678,88,74,9
"12","SEA","AL","WEST",69,677944,639,799,64,98,33
"13","CHIN","NL","EAST",69,1674993,720,611,92,70,8
"14","MON","NL","EAST",69,1212608,582,791,52,110,48
"15","NYN","NL","EAST",69,2175373,632,541,100,62,0
"16","PHI","NL","EAST",69,519414,645,745,63,99,37
"17","PIT","NL","EAST",69,769369,725,652,88,74,12
"18","STL","NL","EAST",69,1682783,595,540,87,75,13
"19","ATL","NL","WEST",69,1458320,691,631,93,69,0
"20","CIN","NL","WEST",69,987991,798,768,89,73,4
"21","HOU","NL","WEST",69,1442995,676,668,81,81,12
"22","LA","NL","WEST",69,1784527,645,561,85,77,8
"23","SD","NL","WEST",69,512970,468,746,52,110,41
"24","SF","NL","WEST",69,873603,713,636,90,72,3
"25","BAL","AL","EAST",70,1057069,792,574,108,54,0
"26","BOS","AL","EAST",70,1595278,786,722,87,75,21
"27","CLE","AL","EAST",70,729752,649,675,76,86,32
"28","DET","AL","EAST",70,1501293,666,731,79,83,29
"29","MILA","AL","EAST",70,933690,613,751,65,97,33
"30","NYA","AL","EAST",70,1136879,680,612,93,69,15
"31","WAS","AL","EAST",70,824789,626,689,70,92,38
"32","CAL","AL","WEST",70,1077741,631,630,86,76,12
"33","CHIA","AL","WEST",70,495355,633,822,56,106,42
"34","KC","AL","WEST",70,693047,611,705,65,97,33
"35","MIN","AL","WEST",70,1261887,744,605,98,64,0
"36","OAK","AL","WEST",70,778355,678,593,89,73,9
"37","CHIN","NL","EAST",70,1642705,806,679,84,78,5
"38","MON","NL","EAST",70,1424683,687,807,73,89,16
"39","NYN","NL","EAST",70,2697479,695,630,83,79,6
"40","PHI","NL","EAST",70,708247,594,730,73,88,15.5
"41","PIT","NL","EAST",70,1341947,729,664,89,73,0
"42","STL","NL","EAST",70,1629736,744,747,76,86,13
"43","ATL","NL","WEST",70,1078848,736,772,76,86,26
"44","CIN","NL","WEST",70,1803568,775,681,102,60,0
"45","HOU","NL","WEST",70,1253444,744,763,79,83,23
"46","LA","NL","WEST",70,1697142,749,684,87,74,14.5
"47","SD","NL","WEST",70,643679,681,788,63,99,39
"48","SF","NL","WEST",70,740720,831,826,86,76,16
"49","BAL","AL","EAST",71,1023037,742,530,101,57,0
"50","BOS","AL","EAST",71,1678732,691,667,85,77,18
"51","CLE","AL","EAST",71,591361,543,747,60,102,43
"52","DET","AL","EAST",71,1591073,701,645,91,71,12
"53","MILA","AL","EAST",71,731531,534,609,69,92,32
"54","NYA","AL","EAST",71,1070771,648,641,82,80,21
"55","WAS","AL","EAST",71,655156,537,660,63,96,38.5
"56","CAL","AL","WEST",71,926373,511,576,76,86,25.5
"57","CHIA","AL","WEST",71,833891,617,597,79,83,22.5
"58","KC","AL","WEST",71,910784,603,566,85,76,16
"59","MIN","AL","WEST",71,940858,654,670,74,86,26.5
"60","OAK","AL","WEST",71,914993,691,564,101,60,0
"61","CHIN","NL","EAST",71,1653007,637,648,83,79,14
"62","MON","NL","EAST",71,1290963,622,729,71,90,25.5
"63","NYN","NL","EAST",71,2266680,588,550,83,79,14
"64","PHI","NL","EAST",71,1511223,558,688,67,95,30
"65","PIT","NL","EAST",71,1501132,788,599,97,65,0
"66","STL","NL","EAST",71,1604671,739,699,90,72,7
"67","ATL","NL","WEST",71,1006320,643,699,82,80,8
"68","CIN","NL","WEST",71,1501122,586,581,79,83,11
"69","HOU","NL","WEST",71,1261589,585,567,79,83,11
"70","LA","NL","WEST",71,2064594,663,587,89,73,1
"71","SD","NL","WEST",71,557513,486,610,61,100,28.5
"72","SF","NL","WEST",71,1106043,706,644,90,72,0
"73","BAL","AL","EAST",72,899950,519,430,80,74,5
"74","BOS","AL","EAST",72,1441718,640,620,85,70,0.5
"75","CLE","AL","EAST",72,626354,472,519,72,84,14
"76","DET","AL","EAST",72,1892386,558,514,86,70,0
"77","MILA","AL","EAST",72,600440,493,595,65,91,21
"78","NYA","AL","EAST",72,966328,557,527,79,76,6.5
"79","CAL","AL","WEST",72,744190,454,533,75,80,18
"80","CHIA","AL","WEST",72,1177318,566,538,87,67,5.5
"81","KC","AL","WEST",72,707656,580,545,76,78,16.5
"82","MIN","AL","WEST",72,797901,537,535,77,77,15.5
"83","OAK","AL","WEST",72,921323,604,457,93,62,0
"84","TEX","AL","WEST",72,662974,461,628,54,100,38.5
"85","CHIN","NL","EAST",72,1299163,685,567,85,70,11
"86","MON","NL","EAST",72,1142145,513,609,70,86,26.5
"87","NYN","NL","EAST",72,2134185,528,578,83,73,13.5
"88","PHI","NL","EAST",72,1343329,503,635,59,97,37.5
"89","PIT","NL","EAST",72,1427460,691,512,96,59,0
"90","STL","NL","EAST",72,1196894,568,600,75,81,21.5
"91","ATL","NL","WEST",72,752973,628,730,70,84,25
"92","CIN","NL","WEST",72,1611459,707,557,95,59,0
"93","HOU","NL","WEST",72,1469247,708,636,84,69,10.5
"94","LA","NL","WEST",72,1860858,584,527,85,70,10.5
"95","SD","NL","WEST",72,644273,488,665,58,95,36.5
"96","SF","NL","WEST",72,647744,662,649,69,86,26.5
"97","BAL","AL","EAST",73,958667,754,561,97,65,0
"98","BOS","AL","EAST",73,1481002,738,647,89,73,8
"99","CLE","AL","EAST",73,615107,680,826,71,91,26
"100","DET","AL","EAST",73,1724146,642,674,85,77,12
"101","MILA","AL","EAST",73,1092158,708,731,74,88,23
"102","NYA","AL","EAST",73,1262103,641,610,80,82,17
"103","CAL","AL","WEST",73,1058206,629,657,79,83,15
"104","CHIA","AL","WEST",73,1302527,652,705,77,85,17
"105","KC","AL","WEST",73,1345341,755,752,88,74,6
"106","MIN","AL","WEST",73,907499,738,692,81,81,13
"107","OAK","AL","WEST",73,1000763,758,615,94,68,0
"108","TEX","AL","WEST",73,686085,619,844,57,105,37
"109","CHIN","NL","EAST",73,1351705,614,655,77,84,5
"110","MON","NL","EAST",73,1246863,668,702,79,83,3.5
"111","NYN","NL","EAST",73,1912390,608,588,82,79,0
"112","PHI","NL","EAST",73,1475934,642,717,71,91,11.5
"113","PIT","NL","EAST",73,1319913,704,693,80,82,2.5
"114","STL","NL","EAST",73,1574046,643,603,81,81,1.5
"115","ATL","NL","WEST",73,800655,799,774,76,85,22.5
"116","CIN","NL","WEST",73,2017601,741,621,99,63,0
"117","HOU","NL","WEST",73,1394004,681,672,82,80,17
"118","LA","NL","WEST",73,2136192,675,565,95,66,3.5
"119","SD","NL","WEST",73,611826,548,770,60,102,39
"120","SF","NL","WEST",73,834193,739,702,88,74,11
"121","BAL","AL","EAST",74,962572,659,612,91,71,0
"122","BOS","AL","EAST",74,1556411,696,661,84,78,7
"123","CLE","AL","EAST",74,1114262,662,694,77,85,14
"124","DET","AL","EAST",74,1243080,620,768,72,90,19
"125","MILA","AL","EAST",74,955741,647,660,76,86,15
"126","NYA","AL","EAST",74,1273075,671,623,89,73,2
"127","CAL","AL","WEST",74,917269,618,657,68,94,22
"128","CHIA","AL","WEST",74,1149596,684,721,80,80,9
"129","KC","AL","WEST",74,1173292,667,662,77,85,13
"130","MIN","AL","WEST",74,662401,673,669,82,80,8
"131","OAK","AL","WEST",74,845693,689,551,90,72,0
"132","TEX","AL","WEST",74,1193902,690,698,84,76,5
"133","CHIN","NL","EAST",74,1015378,669,826,66,96,22
"134","MON","NL","EAST",74,1019134,662,657,79,82,8.5
"135","NYN","NL","EAST",74,1722209,572,646,71,91,17
"136","PHI","NL","EAST",74,1808648,676,701,80,82,8
"137","PIT","NL","EAST",74,1110552,751,657,88,74,0
"138","STL","NL","EAST",74,1838413,677,643,86,75,1.5
"139","ATL","NL","WEST",74,981085,661,563,88,74,14
"140","CIN","NL","WEST",74,2164307,776,631,98,64,4
"141","HOU","NL","WEST",74,1090728,653,632,81,81,21
"142","LA","NL","WEST",74,2632474,798,561,102,60,0
"143","SD","NL","WEST",74,1075399,541,830,60,102,42
"144","SF","NL","WEST",74,519987,634,723,72,90,30
"145","BAL","AL","EAST",75,1002157,682,553,90,69,4.5
"146","BOS","AL","EAST",75,1748587,796,709,95,65,0
"147","CLE","AL","EAST",75,977039,688,703,79,80,15.5
"148","DET","AL","EAST",75,1058836,570,786,57,102,37.5
"149","MILA","AL","EAST",75,1213357,675,792,68,94,28
"150","NYA","AL","EAST",75,1288048,681,588,83,77,12
"151","CAL","AL","WEST",75,1058163,628,723,72,89,25.5
"152","CHIA","AL","WEST",75,750802,655,703,75,86,22.5
"153","KC","AL","WEST",75,1151836,710,649,91,71,7
"154","MIN","AL","WEST",75,737156,724,736,76,83,20.5
"155","OAK","AL","WEST",75,1075518,758,606,98,64,0
"156","TEX","AL","WEST",75,1127924,714,733,79,83,19
"157","CHIN","NL","EAST",75,1034819,712,827,75,87,17.5
"158","MON","NL","EAST",75,908292,601,690,75,87,17.5
"159","NYN","NL","EAST",75,1730566,646,625,82,80,10.5
"160","PHI","NL","EAST",75,1909233,735,694,86,76,6.5
"161","PIT","NL","EAST",75,1270018,712,565,92,69,0
"162","STL","NL","EAST",75,1695270,662,689,82,80,10.5
"163","ATL","NL","WEST",75,534672,583,739,67,94,40.5
"164","CIN","NL","WEST",75,2315603,840,586,108,54,0
"165","HOU","NL","WEST",75,858002,664,711,64,97,43.5
"166","LA","NL","WEST",75,2539349,648,534,88,74,20
"167","SD","NL","WEST",75,1281747,552,683,71,91,37
"168","SF","NL","WEST",75,522919,659,671,80,81,27.5
"169","BAL","AL","EAST",76,1058609,619,598,88,74,10.5
"170","BOS","AL","EAST",76,1895846,716,660,83,79,15.5
"171","CLE","AL","EAST",76,948776,615,615,81,78,16
"172","DET","AL","EAST",76,1467020,609,709,74,87,24
"173","MILA","AL","EAST",76,1012164,570,655,66,95,32
"174","NYA","AL","EAST",76,2012434,730,575,97,62,0
"175","CAL","AL","WEST",76,1006774,550,631,76,86,14
"176","CHIA","AL","WEST",76,914945,586,745,64,97,25.5
"177","KC","AL","WEST",76,1680265,713,611,90,72,0
"178","MIN","AL","WEST",76,715394,743,704,85,77,5
"179","OAK","AL","WEST",76,780593,686,598,87,74,2.5
"180","TEX","AL","WEST",76,1164982,616,652,76,86,14
"181","CHIN","NL","EAST",76,1026217,611,728,75,87,26
"182","MON","NL","EAST",76,646704,531,734,55,107,46
"183","NYN","NL","EAST",76,1468754,615,538,86,76,15
"184","PHI","NL","EAST",76,2480150,770,557,101,61,0
"185","PIT","NL","EAST",76,1025945,708,630,92,70,9
"186","STL","NL","EAST",76,1207079,629,671,72,90,29
"187","ATL","NL","WEST",76,818179,620,700,70,92,32
"188","CIN","NL","WEST",76,2629708,857,633,102,60,0
"189","HOU","NL","WEST",76,886146,625,657,80,82,22
"190","LA","NL","WEST",76,2386301,608,543,92,70,10
"191","SD","NL","WEST",76,1458478,570,662,73,89,29
"192","SF","NL","WEST",76,626868,595,686,74,88,28
"193","BAL","AL","EAST",77,1195769,719,653,97,64,2.5
"194","BOS","AL","EAST",77,2074549,859,712,97,64,2.5
"195","CLE","AL","EAST",77,900365,676,739,71,90,28.5
"196","DET","AL","EAST",77,1359856,714,751,74,88,26
"197","MILA","AL","EAST",77,1114938,639,765,67,95,33
"198","NYA","AL","EAST",77,2103092,831,651,100,62,0
"199","TOR","AL","EAST",77,1701052,605,822,54,107,45.5
"200","CAL","AL","WEST",77,1432633,675,695,74,88,28
"201","CHIA","AL","WEST",77,1657135,844,771,90,72,12
"202","KC","AL","WEST",77,1852603,822,651,102,60,0
"203","MIN","AL","WEST",77,1162727,867,776,84,77,17.5
"204","OAK","AL","WEST",77,495599,605,749,63,98,38.5
"205","SEA","AL","WEST",77,1338511,624,855,64,98,38
"206","TEX","AL","WEST",77,1250722,767,657,94,68,8
"207","CHIN","NL","EAST",77,1439834,692,739,81,81,20
"208","MON","NL","EAST",77,1433757,665,736,75,87,26
"209","NYN","NL","EAST",77,1066825,587,663,64,98,37
"210","PHI","NL","EAST",77,2700070,847,668,101,61,0
"211","PIT","NL","EAST",77,1237349,734,665,96,66,5
"212","STL","NL","EAST",77,1659287,737,688,83,79,18
"213","ATL","NL","WEST",77,872464,678,895,61,101,37
"214","CIN","NL","WEST",77,2519670,802,725,88,74,10
"215","HOU","NL","WEST",77,1109560,680,650,81,81,17
"216","LA","NL","WEST",77,2955087,769,582,98,64,0
"217","SD","NL","WEST",77,1376269,692,834,69,93,29
"218","SF","NL","WEST",77,700056,673,711,75,87,23
"219","BAL","AL","EAST",78,1051724,659,633,90,71,9
"220","BOS","AL","EAST",78,2320643,796,657,99,64,1
"221","CLE","AL","EAST",78,800584,639,694,69,90,29
"222","DET","AL","EAST",78,1714893,714,653,86,76,13.5
"223","MILA","AL","EAST",78,1601406,804,650,93,69,6.5
"224","NYA","AL","EAST",78,2335871,735,582,100,63,0
"225","TOR","AL","EAST",78,1562585,590,775,59,102,40
"226","CAL","AL","WEST",78,1755386,691,666,87,75,5
"227","CHIA","AL","WEST",78,1491100,634,731,71,90,20.5
"228","KC","AL","WEST",78,2255493,743,634,92,70,0
"229","MIN","AL","WEST",78,787878,666,678,73,89,19
"230","OAK","AL","WEST",78,526999,532,690,69,93,23
"231","SEA","AL","WEST",78,877440,614,834,56,104,35
"232","TEX","AL","WEST",78,1447963,692,632,87,75,5
"233","CHIN","NL","EAST",78,1525311,664,724,79,83,11
"234","MON","NL","EAST",78,1427007,633,611,76,86,12
"235","NYN","NL","EAST",78,1007328,607,690,66,96,24
"236","PHI","NL","EAST",78,2583389,708,586,90,72,0
"237","PIT","NL","EAST",78,964106,684,637,88,73,1.5
"238","STL","NL","EAST",78,1278215,600,657,69,93,21
"239","ATL","NL","WEST",78,904494,600,750,69,93,26
"240","CIN","NL","WEST",78,2532497,710,688,92,69,2.5
"241","HOU","NL","WEST",78,1126145,605,634,74,88,21
"242","LA","NL","WEST",78,3347845,727,573,95,67,0
"243","SD","NL","WEST",78,1670107,591,598,84,78,11
"244","SF","NL","WEST",78,1740477,613,594,89,73,6
"245","BAL","AL","EAST",79,1681009,757,582,102,57,0
"246","BOS","AL","EAST",79,2353114,841,711,91,69,11.5
"247","CLE","AL","EAST",79,1011644,760,805,81,80,22
"248","DET","AL","EAST",79,1630929,770,738,85,76,18
"249","MILA","AL","EAST",79,1918343,807,722,95,66,8
"250","NYA","AL","EAST",79,2537765,734,672,89,71,13.5
"251","TOR","AL","EAST",79,1431651,613,862,53,109,50.5
"252","CAL","AL","WEST",79,2523575,866,768,88,74,0
"253","CHIA","AL","WEST",79,1280702,730,748,73,87,14
"254","KC","AL","WEST",79,2261845,851,816,85,77,3
"255","MIN","AL","WEST",79,1070521,764,725,82,80,6
"256","OAK","AL","WEST",79,306763,573,860,54,108,34
"257","SEA","AL","WEST",79,844447,711,820,67,95,21
"258","TEX","AL","WEST",79,1519671,750,698,83,79,5
"259","CHIN","NL","EAST",79,1648587,706,707,80,82,18
"260","MON","NL","EAST",79,2102173,701,581,95,65,2
"261","NYN","NL","EAST",79,788905,593,706,63,99,35
"262","PHI","NL","EAST",79,2775011,683,718,84,78,14
"263","PIT","NL","EAST",79,1435454,775,643,98,64,0
"264","STL","NL","EAST",79,1627256,731,693,86,76,12
"265","ATL","NL","WEST",79,769465,669,763,66,94,23.5
"266","CIN","NL","WEST",79,2356933,731,644,90,71,0
"267","HOU","NL","WEST",79,1900312,583,582,89,73,1.5
"268","LA","NL","WEST",79,2860954,739,717,79,83,11.5
"269","SD","NL","WEST",79,1456967,603,681,68,93,22
"270","SF","NL","WEST",79,1456402,672,751,73,91,19.5
"271","BAL","AL","EAST",80,1797438,805,640,100,62,3
"272","BOS","AL","EAST",80,1956092,757,767,83,77,19
"273","CLE","AL","EAST",80,1033827,738,807,79,81,23
"274","DET","AL","EAST",80,1785293,830,757,84,78,19
"275","MILA","AL","EAST",80,1857408,811,682,86,76,17
"276","NYA","AL","EAST",80,2627417,820,662,103,59,0
"277","TOR","AL","EAST",80,1400327,624,762,67,95,36
"278","CAL","AL","WEST",80,2297327,698,797,65,95,31
"279","CHIA","AL","WEST",80,1200365,587,722,70,90,26
"280","KC","AL","WEST",80,2288714,809,694,97,65,0
"281","MIN","AL","WEST",80,769206,670,724,77,84,19.5
"282","OAK","AL","WEST",80,842259,686,642,83,79,14
"283","SEA","AL","WEST",80,836204,610,793,59,103,38
"284","TEX","AL","WEST",80,1198175,756,752,76,85,20.5
"285","CHIN","NL","EAST",80,1206776,614,728,64,98,27
"286","MON","NL","EAST",80,2208175,694,629,90,72,1
"287","NYN","NL","EAST",80,1192073,611,702,67,95,24
"288","PHI","NL","EAST",80,2651650,728,639,91,71,0
"289","PIT","NL","EAST",80,1646757,666,646,83,79,8
"290","STL","NL","EAST",80,1385147,738,710,74,88,17
"291","ATL","NL","WEST",80,1048411,630,660,81,80,11
"292","CIN","NL","WEST",80,2022450,707,670,89,73,3.5
"293","HOU","NL","WEST",80,2278217,637,589,93,70,0
"294","LA","NL","WEST",80,3249287,663,591,92,71,1
"295","SD","NL","WEST",80,1139026,591,654,73,89,19.5
"296","SF","NL","WEST",80,1096115,573,634,75,86,17
"297","BAL","AL","EAST",81,1024247,429,437,59,46,1
"298","BOS","AL","EAST",81,1060379,519,481,59,49,2.5
"299","CLE","AL","EAST",81,661395,431,442,52,51,7
"300","DET","AL","EAST",81,1149144,427,404,60,49,2
"301","MILA","AL","EAST",81,874292,493,459,62,47,0
"302","NYA","AL","EAST",81,1614353,421,343,59,48,2
"303","TOR","AL","EAST",81,755083,329,466,37,69,23.5
"304","CAL","AL","WEST",81,1441545,476,453,51,59,13.5
"305","CHIA","AL","WEST",81,946651,476,423,54,52,8.5
"306","KC","AL","WEST",81,1279403,397,405,50,53,11
"307","MIN","AL","WEST",81,469090,378,486,41,68,23
"308","OAK","AL","WEST",81,1304052,458,403,64,45,0
"309","SEA","AL","WEST",81,636276,426,521,44,65,20
"310","TEX","AL","WEST",81,850076,452,389,57,48,5
"311","CHIN","NL","EAST",81,565637,370,483,38,65,21.5
"312","MON","NL","EAST",81,1534564,443,394,60,48,2
"313","NYN","NL","EAST",81,704244,348,432,41,62,18.5
"314","PHI","NL","EAST",81,1638752,491,472,59,48,2.5
"315","PIT","NL","EAST",81,541789,407,425,46,56,13
"316","STL","NL","EAST",81,1010247,464,417,59,43,0
"317","ATL","NL","WEST",81,535418,395,416,50,56,15
"318","CIN","NL","WEST",81,1093730,464,440,66,42,0
"319","HOU","NL","WEST",81,1321282,394,331,61,49,6
"320","LA","NL","WEST",81,2381292,450,356,63,47,4
"321","SD","NL","WEST",81,519161,382,455,41,69,26
"322","SF","NL","WEST",81,632274,427,414,56,55,11.5
"323","BAL","AL","EAST",82,1613031,774,687,94,68,1
"324","BOS","AL","EAST",82,1950124,753,713,89,73,6
"325","CLE","AL","EAST",82,1044021,683,748,78,84,17
"326","DET","AL","EAST",82,1636058,729,685,83,79,12
"327","MILA","AL","EAST",82,1978896,891,717,95,67,0
"328","NYA","AL","EAST",82,2041219,709,716,79,83,16
"329","TOR","AL","EAST",82,1275978,651,701,78,84,17
"330","CAL","AL","WEST",82,2807360,814,670,93,69,0
"331","CHIA","AL","WEST",82,1567787,786,710,87,75,6
"332","KC","AL","WEST",82,2284464,784,717,90,72,3
"333","MIN","AL","WEST",82,921186,657,819,60,102,33
"334","OAK","AL","WEST",82,1735489,691,819,68,94,25
"335","SEA","AL","WEST",82,1070404,651,712,76,86,17
"336","TEX","AL","WEST",82,1154432,590,749,64,98,29
"337","CHIN","NL","EAST",82,1249278,676,709,73,89,19
"338","MON","NL","EAST",82,2318292,697,616,86,76,6
"339","NYN","NL","EAST",82,1323036,609,723,65,97,27
"340","PHI","NL","EAST",82,2376394,664,654,89,73,3
"341","PIT","NL","EAST",82,1024106,724,696,84,78,8
"342","STL","NL","EAST",82,2111906,685,609,92,70,0
"343","ATL","NL","WEST",82,1801985,739,702,89,73,0
"344","CIN","NL","WEST",82,1326528,545,661,61,101,28
"345","HOU","NL","WEST",82,1558555,569,620,77,85,12
"346","LA","NL","WEST",82,3608881,691,612,88,74,1
"347","SD","NL","WEST",82,1607516,675,658,81,81,8
"348","SF","NL","WEST",82,1200948,673,687,87,75,2
"349","BAL","AL","EAST",83,2042071,799,652,98,64,0
"350","BOS","AL","EAST",83,1782285,724,775,78,84,20
"351","CLE","AL","EAST",83,768941,704,785,70,92,28
"352","DET","AL","EAST",83,1829636,789,679,92,70,6
"353","MILA","AL","EAST",83,2397131,764,708,87,75,11
"354","NYA","AL","EAST",83,2257976,770,703,91,71,7
"355","TOR","AL","EAST",83,1930415,795,726,89,73,9
"356","CAL","AL","WEST",83,2555016,722,779,70,92,29
"357","CHIA","AL","WEST",83,2132821,800,650,99,63,0
"358","KC","AL","WEST",83,1963875,696,767,79,93,20
"359","MIN","AL","WEST",83,858939,709,822,70,92,29
"360","OAK","AL","WEST",83,1294941,708,782,74,88,25
"361","SEA","AL","WEST",83,813537,558,740,60,102,39
"362","TEX","AL","WEST",83,1363469,639,609,77,85,22
"363","CHIN","NL","EAST",83,1479717,701,719,71,91,19
"364","MON","NL","EAST",83,2320651,677,646,82,80,8
"365","NYN","NL","EAST",83,1112774,575,680,68,94,22
"366","PHI","NL","EAST",83,2128339,696,635,90,72,0
"367","PIT","NL","EAST",83,1225916,659,648,84,78,6
"368","STL","NL","EAST",83,2317914,679,710,79,83,11
"369","ATL","NL","WEST",83,2119935,746,640,88,74,3
"370","CIN","NL","WEST",83,1190419,623,710,74,88,17
"371","HOU","NL","WEST",83,1351962,643,646,85,77,6
"372","LA","NL","WEST",83,3510313,654,609,91,71,0
"373","SD","NL","WEST",83,1539815,653,653,81,81,10
"374","SF","NL","WEST",83,1251530,687,697,79,83,12
"375","BAL","AL","EAST",84,2045784,681,667,85,77,19
"376","BOS","AL","EAST",84,1661618,810,764,86,76,18
"377","CLE","AL","EAST",84,734079,761,766,75,86,29
"378","DET","AL","EAST",84,2704794,829,643,104,58,0
"379","MILA","AL","EAST",84,1608509,641,734,67,94,36.5
"380","NYA","AL","EAST",84,1821815,758,679,87,75,17
"381","TOR","AL","EAST",84,2110009,750,696,89,73,15
"382","CAL","AL","WEST",84,2402997,696,697,81,81,3
"383","CHIA","AL","WEST",84,2136988,679,736,74,88,10
"384","KC","AL","WEST",84,1810018,673,686,84,78,0
"385","MIN","AL","WEST",84,1598692,673,675,81,81,3
"386","OAK","AL","WEST",84,1353281,738,796,77,85,7
"387","SEA","AL","WEST",84,870372,682,774,74,88,10
"388","TEX","AL","WEST",84,1102471,656,714,69,92,14.5
"389","CHIN","NL","EAST",84,2107655,762,658,96,65,0
"390","MON","NL","EAST",84,1606531,593,585,78,83,18
"391","NYN","NL","EAST",84,1842695,652,676,90,72,6.5
"392","PHI","NL","EAST",84,2062693,720,690,81,81,15.5
"393","PIT","NL","EAST",84,773500,615,567,75,87,21.5
"394","STL","NL","EAST",84,2037448,652,645,84,78,12.5
"395","ATL","NL","WEST",84,1724892,632,655,80,82,12
"396","CIN","NL","WEST",84,1275887,627,747,70,92,22
"397","HOU","NL","WEST",84,1229862,690,630,80,82,12
"398","LA","NL","WEST",84,3134824,580,600,79,83,13
"399","SD","NL","WEST",84,1983904,686,634,92,70,0
"400","SF","NL","WEST",84,1001545,682,807,66,96,26
"401","BAL","AL","EAST",85,2132387,818,764,83,78,16
"402","BOS","AL","EAST",85,1786633,800,720,81,81,18.5
"403","CLE","AL","EAST",85,655181,729,861,60,102,39.5
"404","DET","AL","EAST",85,2286609,729,688,84,77,15
"405","MILA","AL","EAST",85,1360265,690,802,71,90,28
"406","NYA","AL","EAST",85,2214587,839,660,97,64,2
"407","TOR","AL","EAST",85,2468925,759,588,99,62,0
"408","CAL","AL","WEST",85,2567427,732,703,90,72,1
"409","CHIA","AL","WEST",85,1669888,736,720,85,77,6
"410","KC","AL","WEST",85,2162717,687,639,91,71,0
"411","MIN","AL","WEST",85,1651814,705,782,77,85,14
"412","OAK","AL","WEST",85,1334599,757,787,77,85,14
"413","SEA","AL","WEST",85,1128696,719,818,74,88,17
"414","TEX","AL","WEST",85,1112497,617,785,62,99,28.5
"415","CHIN","NL","EAST",85,2161534,686,729,77,84,23.5
"416","MON","NL","EAST",85,1502494,633,636,84,77,16.5
"417","NYN","NL","EAST",85,2761601,695,568,98,64,3
"418","PHI","NL","EAST",85,1830350,667,673,75,87,26
