"","franchise","league","division","year","attendance","runs.scored","runs.allowed","wins","losses","games.behind"
"419","PIT","NL","EAST",85,735900,568,708,57,104,43.5
"420","STL","NL","EAST",85,2637563,747,572,101,61,0
"421","ATL","NL","WEST",85,1350137,632,781,66,96,29
"422","CIN","NL","WEST",85,1834619,677,666,89,72,5.5
"423","HOU","NL","WEST",85,1184314,706,691,83,79,12
"424","LA","NL","WEST",85,3264593,682,579,95,67,0
"425","SD","NL","WEST",85,2210352,650,622,83,79,12
"426","SF","NL","WEST",85,818697,556,674,62,100,33
"427","BAL","AL","EAST",86,1973176,708,760,73,89,22.5
"428","BOS","AL","EAST",86,2147641,794,696,95,66,0
"429","CLE","AL","EAST",86,1471805,831,841,84,78,11.5
"430","DET","AL","EAST",86,1899437,798,714,87,75,8.5
"431","MILA","AL","EAST",86,1265041,667,734,77,84,18
"432","NYA","AL","EAST",86,2268030,797,738,90,72,5.5
"433","TOR","AL","EAST",86,2455477,809,733,86,76,9.5
"434","CAL","AL","WEST",86,2655872,786,684,92,70,0
"435","CHIA","AL","WEST",86,1424313,644,699,72,90,20
"436","KC","AL","WEST",86,2320794,654,673,76,86,16
"437","MIN","AL","WEST",86,1255453,741,839,71,91,21
"438","OAK","AL","WEST",86,1314646,731,760,76,86,16
"439","SEA","AL","WEST",86,1029045,718,835,67,95,25
"440","TEX","AL","WEST",86,1692002,771,743,87,75,5
"441","CHIN","NL","EAST",86,1859102,680,781,70,90,37
"442","MON","NL","EAST",86,1128981,637,688,78,83,29.5
"443","NYN","NL","EAST",86,2767601,783,578,108,54,0
"444","PHI","NL","EAST",86,1933335,739,713,86,75,21.5
"445","PIT","NL","EAST",86,1000917,663,700,64,98,44
"446","STL","NL","EAST",86,2471974,601,611,79,82,28.5
"447","ATL","NL","WEST",86,1387181,615,719,72,89,23.5
"448","CIN","NL","WEST",86,1692432,732,717,86,76,10
"449","HOU","NL","WEST",86,1734276,654,569,96,66,0
"450","LA","NL","WEST",86,3023208,638,679,73,89,23
"451","SD","NL","WEST",86,1805716,656,723,74,88,22
"452","SF","NL","WEST",86,1528748,698,618,83,79,13
"453","BAL","AL","EAST",87,1835692,729,880,67,95,31
"454","BOS","AL","EAST",87,2231551,842,825,78,84,20
"455","CLE","AL","EAST",87,1077898,742,957,61,101,37
"456","DET","AL","EAST",87,2061830,896,735,98,64,0
"457","MILA","AL","EAST",87,1909244,862,817,91,71,7
"458","NYA","AL","EAST",87,2427672,788,758,89,73,9
"459","TOR","AL","EAST",87,2778429,845,655,96,66,2
"460","CAL","AL","WEST",87,2696299,770,803,75,87,10
"461","CHIA","AL","WEST",87,1208060,748,746,77,85,8
"462","KC","AL","WEST",87,2392471,715,691,83,79,2
"463","MIN","AL","WEST",87,2081976,786,806,85,77,0
"464","OAK","AL","WEST",87,1678921,806,789,81,81,4
"465","SEA","AL","WEST",87,1134255,760,801,78,84,8
"466","TEX","AL","WEST",87,1763053,823,849,75,87,10
"467","CHIN","NL","EAST",87,2035130,720,801,76,85,18.5
"468","MON","NL","EAST",87,1850324,741,720,91,71,4
"469","NYN","NL","EAST",87,3034129,823,698,92,70,3
"470","PHI","NL","EAST",87,2100110,702,749,80,82,15
"471","PIT","NL","EAST",87,1161193,723,744,80,82,15
"472","STL","NL","EAST",87,3072122,798,693,95,67,0
"473","ATL","NL","WEST",87,1217402,747,829,69,92,20.5
"474","CIN","NL","WEST",87,2185205,783,752,84,78,6
"475","HOU","NL","WEST",87,1909902,648,678,76,86,14
"476","LA","NL","WEST",87,2797409,635,675,73,89,17
"477","SD","NL","WEST",87,1454061,668,763,65,97,25
"478","SF","NL","WEST",87,1917168,783,669,90,72,0
"479","BAL","AL","EAST",88,1660738,550,789,54,107,34.5
"480","BOS","AL","EAST",88,2464851,813,689,89,73,0
"481","CLE","AL","EAST",88,1411610,666,731,78,84,11
"482","DET","AL","EAST",88,2081162,703,658,88,74,1
"483","MILA","AL","EAST",88,1923238,682,616,87,75,2
"484","NYA","AL","EAST",88,2633701,772,748,85,76,3.5
"485","TOR","AL","EAST",88,2595175,763,680,87,75,2
"486","CAL","AL","WEST",88,2340925,714,771,75,87,29
"487","CHIA","AL","WEST",88,1115749,631,757,71,90,32.5
"488","KC","AL","WEST",88,2350181,704,648,84,77,19.5
"489","MIN","AL","WEST",88,3030672,759,672,91,71,13
"490","OAK","AL","WEST",88,2287335,800,620,104,58,0
"491","SEA","AL","WEST",88,1022398,664,744,68,93,35.5
"492","TEX","AL","WEST",88,1581901,637,735,70,91,33.5
"493","CHIN","NL","EAST",88,2089034,660,694,77,85,24
"494","MON","NL","EAST",88,1478659,628,592,81,81,20
"495","NYN","NL","EAST",88,3055445,703,532,100,60,0
"496","PHI","NL","EAST",88,1990041,597,734,65,96,35.5
"497","PIT","NL","EAST",88,1866713,651,616,85,75,15
"498","STL","NL","EAST",88,2892799,578,633,76,86,25
"499","ATL","NL","WEST",88,848089,555,741,54,106,39.5
"500","CIN","NL","WEST",88,2072528,641,596,87,74,7
"501","HOU","NL","WEST",88,1933505,617,631,82,80,12.5
"502","LA","NL","WEST",88,2980262,628,544,94,67,0
"503","SD","NL","WEST",88,1506896,594,583,83,78,11
"504","SF","NL","WEST",88,1785297,670,626,83,79,11.5
"505","BAL","AL","EAST",89,2535208,708,686,87,75,2
"506","BOS","AL","EAST",89,2510012,774,735,83,79,6
"507","CLE","AL","EAST",89,1285542,604,654,73,89,16
"508","DET","AL","EAST",89,1543656,617,816,59,103,30
"509","MILA","AL","EAST",89,1970735,707,679,81,81,8
"510","NYA","AL","EAST",89,2170485,698,792,74,87,14.5
"511","TOR","AL","EAST",89,3375883,731,651,89,73,0
"512","CAL","AL","WEST",89,2647291,669,578,91,71,8
"513","CHIA","AL","WEST",89,1045651,693,750,69,92,29.5
"514","KC","AL","WEST",89,2477700,690,635,92,70,7
"515","MIN","AL","WEST",89,2277438,740,738,80,82,19
"516","OAK","AL","WEST",89,2667225,712,576,99,63,0
"517","SEA","AL","WEST",89,1298443,694,728,73,89,26
"518","TEX","AL","WEST",89,2043993,695,714,83,79,16
"519","CHIN","NL","EAST",89,2491942,702,623,93,69,0
"520","MON","NL","EAST",89,1783533,632,630,81,81,12
"521","NYN","NL","EAST",89,2918710,683,595,87,75,6
"522","PHI","NL","EAST",89,1861985,629,735,67,95,26
"523","PIT","NL","EAST",89,1374141,637,680,74,88,19
"524","STL","NL","EAST",89,3080980,632,608,86,76,7
"525","ATL","NL","WEST",89,984930,584,680,63,97,28
"526","CIN","NL","WEST",89,1979320,632,691,75,87,17
"527","HOU","NL","WEST",89,1834908,647,669,86,76,6
"528","LA","NL","WEST",89,2944653,554,536,77,83,14
"529","SD","NL","WEST",89,2009031,642,626,89,73,3
"530","SF","NL","WEST",89,2059701,699,600,92,70,0
"531","BAL","AL","EAST",90,2415189,669,698,76,85,11.5
"532","BOS","AL","EAST",90,2528986,699,664,88,74,0
"533","CLE","AL","EAST",90,1225240,732,737,77,85,11
"534","DET","AL","EAST",90,1495785,750,754,79,83,9
"535","MILA","AL","EAST",90,1752900,732,760,74,88,14
"536","NYA","AL","EAST",90,2006436,603,749,67,95,21
"537","TOR","AL","EAST",90,3885284,767,661,86,76,2
"538","CAL","AL","WEST",90,2555688,690,706,80,82,23
"539","CHIA","AL","WEST",90,2002357,682,633,94,68,9
"540","KC","AL","WEST",90,2244956,707,709,75,86,27.5
"541","MIN","AL","WEST",90,1751584,666,729,74,88,29
"542","OAK","AL","WEST",90,2900217,733,570,103,59,0
"543","SEA","AL","WEST",90,1509727,640,680,77,85,26
"544","TEX","AL","WEST",90,2057911,676,696,83,79,20
"545","CHIN","NL","EAST",90,2243791,690,774,77,85,18
"546","MON","NL","EAST",90,1373087,662,598,85,77,10
"547","NYN","NL","EAST",90,2732745,775,613,91,71,4
"548","PHI","NL","EAST",90,1992484,646,729,77,85,18
"549","PIT","NL","EAST",90,2049908,733,619,95,67,0
"550","STL","NL","EAST",90,2573225,599,698,70,92,25
"551","ATL","NL","WEST",90,980129,682,821,65,97,26
"552","CIN","NL","WEST",90,2400892,693,597,91,71,0
"553","HOU","NL","WEST",90,1310927,573,656,75,87,16
"554","LA","NL","WEST",90,3002396,728,685,86,76,5
"555","SD","NL","WEST",90,1856396,673,673,75,87,16
"556","SF","NL","WEST",90,1975528,719,710,85,77,6
"557","BAL","AL","EAST",91,2552753,686,796,67,95,24
"558","BOS","AL","EAST",91,2562435,731,712,84,78,7
"559","CLE","AL","EAST",91,1051863,576,759,57,105,34
"560","DET","AL","EAST",91,1641661,817,794,84,78,7
"561","MILA","AL","EAST",91,1478729,799,744,83,79,8
"562","NYA","AL","EAST",91,1863733,674,777,71,91,20
"563","TOR","AL","EAST",91,4001527,684,622,91,71,0
"564","CAL","AL","WEST",91,2416236,653,649,81,81,14
"565","CHIA","AL","WEST",91,2934154,758,681,87,75,8
"566","KC","AL","WEST",91,2161537,727,722,82,80,13
"567","MIN","AL","WEST",91,2293842,776,652,95,67,0
"568","OAK","AL","WEST",91,2713493,760,776,84,78,11
"569","SEA","AL","WEST",91,2147905,702,674,83,79,12
"570","TEX","AL","WEST",91,2297720,829,814,85,77,10
"571","CHIN","NL","EAST",91,2314250,695,734,77,83,20
"572","MON","NL","EAST",91,934742,579,655,71,90,26.5
"573","NYN","NL","EAST",91,2284484,640,646,77,84,20.5
"574","PHI","NL","EAST",91,2050012,629,680,78,84,20
"575","PIT","NL","EAST",91,2065302,768,632,98,64,0
"576","STL","NL","EAST",91,2448699,651,648,84,78,14
"577","ATL","NL","WEST",91,2140217,749,644,94,68,0
"578","CIN","NL","WEST",91,2372377,689,691,74,88,20
"579","HOU","NL","WEST",91,1196152,605,717,65,97,29
"580","LA","NL","WEST",91,3348170,665,565,93,96,1
"581","SD","NL","WEST",91,1804289,636,646,84,78,10
"582","SF","NL","WEST",91,1737478,649,697,75,87,19
"583","BAL","AL","EAST",92,3567819,705,656,89,73,7
"584","BOS","AL","EAST",92,2468574,599,669,73,89,23
"585","CLE","AL","EAST",92,1224094,674,746,76,86,20
"586","DET","AL","EAST",92,1423963,791,794,75,87,21
"587","MILA","AL","EAST",92,1857351,740,604,92,70,4
"588","NYA","AL","EAST",92,1748737,733,746,76,86,20
"589","TOR","AL","EAST",92,4028318,780,682,96,66,0
"590","CAL","AL","WEST",92,2065444,579,671,72,90,24
"591","CHIA","AL","WEST",92,2681156,738,690,86,76,10
"592","KC","AL","WEST",92,1867689,610,667,72,90,24
"593","MIN","AL","WEST",92,2482428,747,653,90,72,6
"594","OAK","AL","WEST",92,2494160,745,672,96,66,0
"595","SEA","AL","WEST",92,1651367,679,799,64,98,32
"596","TEX","AL","WEST",92,2198231,682,753,77,85,19
"597","CHIN","NL","EAST",92,2126720,593,624,78,84,18
"598","MON","NL","EAST",92,1669127,648,581,87,75,9
"599","NYN","NL","EAST",92,1779534,599,653,72,90,24
"600","PHI","NL","EAST",92,1927448,686,717,70,92,26
"601","PIT","NL","EAST",92,1829395,693,595,96,66,0
"602","STL","NL","EAST",92,2418483,631,604,83,79,13
"603","ATL","NL","WEST",92,3077400,682,569,98,64,0
"604","CIN","NL","WEST",92,2315946,660,609,90,72,8
"605","HOU","NL","WEST",92,1211412,608,668,81,81,17
"606","LA","NL","WEST",92,2473266,548,636,63,99,35
"607","SD","NL","WEST",92,1721406,617,636,82,80,16
"608","SF","NL","WEST",92,1560998,574,647,72,90,26
"609","BAL","AL","EAST",93,3644965,786,745,85,77,10
"610","BOS","AL","EAST",93,2422021,686,698,80,82,15
"611","CLE","AL","EAST",93,2177908,790,813,76,86,19
"612","DET","AL","EAST",93,1971421,899,837,85,77,10
"613","MILA","AL","EAST",93,1688080,733,792,69,93,26
"614","NYA","AL","EAST",93,2416965,821,761,88,74,7
"615","TOR","AL","EAST",93,4057947,847,742,95,67,0
"616","CAL","AL","WEST",93,2057460,684,770,71,91,26
"617","CHIA","AL","WEST",93,2581091,776,664,94,68,0
"618","KC","AL","WEST",93,1934578,675,694,84,78,10
"619","MIN","AL","WEST",93,2048673,693,830,71,91,26
"620","OAK","AL","WEST",93,2035025,715,846,68,94,29
"621","SEA","AL","WEST",93,2051853,734,731,82,80,12
"622","TEX","AL","WEST",93,2244616,835,751,86,76,8
"623","CHIN","NL","EAST",93,2653763,738,739,84,78,13
"624","MON","NL","EAST",93,1641437,732,682,94,68,3
"625","NYN","NL","EAST",93,1873183,672,744,59,103,38
"626","PHI","NL","EAST",93,3137674,877,740,97,65,0
"627","PIT","NL","EAST",93,1650593,707,806,75,87,22
"628","STL","NL","EAST",93,2844328,758,744,87,75,10
"629","ATL","NL","WEST",93,3884725,767,559,104,58,0
"630","CIN","NL","WEST",93,2453232,722,785,73,89,31
"631","HOU","NL","WEST",93,2084546,716,630,85,77,19
"632","LA","NL","WEST",93,3170392,675,662,81,81,23
"633","SD","NL","WEST",93,1375432,679,772,61,101,43
"634","SF","NL","WEST",93,2606354,808,636,103,59,1
"635","COL","NL","WEST",93,4483350,758,967,67,95,37
"636","FL","NL","EAST",93,3064847,581,724,64,98,33
"637","BAL","AL","EAST",94,2535359,589,497,63,49,6.5
"638","BOS","AL","EAST",94,1775818,552,621,54,61,17
"639","CLE","AL","CENT",94,1995174,679,562,66,47,1
"640","DET","AL","EAST",94,1184783,652,671,53,62,15
"641","MILA","AL","CENT",94,1268399,547,586,53,62,18
"642","NYA","AL","EAST",94,1675556,670,534,70,43,0
"643","TOR","AL","EAST",94,2907933,566,579,55,60,16
"644","CAL","AL","WEST",94,1512622,543,660,47,68,5.5
"645","CHIA","AL","CENT",94,1697398,633,498,67,46,0
"646","KC","AL","CENT",94,1400494,574,532,64,51,4
"647","MIN","AL","CENT",94,1398565,594,688,53,60,14
"648","OAK","AL","WEST",94,1242692,549,589,51,63,1
"649","SEA","AL","WEST",94,1104206,569,616,49,63,2
"650","TEX","AL","WEST",94,2503198,613,697,52,62,0
"651","CHIN","NL","CENT",94,1845208,500,549,49,64,16.5
"652","MON","NL","EAST",94,1276250,585,454,74,40,0
"653","NYN","NL","EAST",94,1151471,506,526,55,58,18.5
"654","PHI","NL","EAST",94,2290971,521,497,54,61,20.5
"655","PIT","NL","CENT",94,1222520,466,580,53,61,13
"656","STL","NL","CENT",94,1866544,535,621,53,61,13
"657","ATL","NL","EAST",94,2539240,542,448,68,46,6
"658","CIN","NL","CENT",94,1897681,609,490,66,48,0
"659","HOU","NL","CENT",94,1561136,602,503,66,49,0.5
"660","LA","NL","WEST",94,2279355,532,509,58,56,0
"661","SD","NL","WEST",94,953857,479,531,47,70,12.5
"662","SF","NL","WEST",94,1704608,504,500,55,60,3.5
"663","COL","NL","WEST",94,3281511,573,638,53,64,6.5
"664","FL","NL","EAST",94,1937467,468,576,51,64,23.5
"665","BAL","AL","EAST",95,3098475,704,640,71,73,15
"666","BOS","AL","EAST",95,2164410,791,698,86,58,0
"667","CLE","AL","CENT",95,2842745,840,607,100,44,0
"668","DET","AL","EAST",95,1180979,654,844,60,84,26
"669","MILA","AL","CENT",95,1087560,740,747,65,79,35
"670","NYA","AL","EAST",95,1705263,749,688,79,65,7
"671","TOR","AL","EAST",95,2826483,642,777,56,88,30
"672","CAL","AL","WEST",95,1748680,801,697,78,67,1
"673","CHIA","AL","CENT",95,1609773,755,758,68,76,32
"674","KC","AL","CENT",95,1233530,629,691,70,74,30
"675","MIN","AL","CENT",95,1057667,703,889,56,88,44
"676","OAK","AL","WEST",95,1174310,730,761,67,77,11.5
"677","SEA","AL","WEST",95,1643203,796,708,79,66,0
"678","TEX","AL","WEST",95,1985910,691,720,74,70,4.5
"679","CHIN","NL","CENT",95,1918265,693,671,73,71,12
"680","MON","NL","EAST",95,1309618,621,638,66,78,24
"681","NYN","NL","EAST",95,1273183,657,618,69,75,21
"682","PHI","NL","EAST",95,2043598,615,658,69,75,21
"683","PIT","NL","CENT",95,905517,629,736,58,86,27
"684","STL","NL","CENT",95,1756727,563,658,62,81,22.5
"685","ATL","NL","EAST",95,2561831,645,540,90,54,0
"686","CIN","NL","CENT",95,1837649,747,623,85,59,0
"687","HOU","NL","CENT",95,1363801,747,674,76,68,9
"688","LA","NL","WEST",95,2766251,634,609,78,66,0
"689","SD","NL","WEST",95,1040805,668,672,70,74,8
"690","SF","NL","WEST",95,1241500,652,776,67,77,11
"691","COL","NL","WEST",95,3390037,785,783,77,67,1
"692","FL","NL","EAST",95,1700466,673,673,67,76,22.5
"693","BAL","AL","EAST",96,3646950,949,903,88,74,4
"694","BOS","AL","EAST",96,2315231,928,921,85,77,7
"695","CLE","AL","CENT",96,3318174,952,769,99,62,0
"696","DET","AL","EAST",96,1168610,783,1103,53,109,39
"697","MILA","AL","CENT",96,1327155,894,899,80,82,19.5
"698","NYA","AL","EAST",96,2250877,871,787,92,70,0
"699","TOR","AL","EAST",96,2559573,766,809,74,88,18
"700","CAL","AL","WEST",96,1820521,762,943,70,91,19.5
"701","CHIA","AL","CENT",96,1676403,898,794,85,77,14.5
"702","KC","AL","CENT",96,1435997,746,786,75,86,24
"703","MIN","AL","CENT",96,1437352,877,900,78,84,21.5
"704","OAK","AL","WEST",96,1148380,861,900,78,84,12
"705","SEA","AL","WEST",96,2723850,993,895,85,76,4.5
"706","TEX","AL","WEST",96,2889020,928,799,90,72,0
"707","CHIN","NL","CENT",96,2219110,772,771,76,86,12
"708","MON","NL","EAST",96,1616709,741,668,88,74,8
"709","NYN","NL","EAST",96,1588323,746,779,71,91,25
"710","PHI","NL","EAST",96,1801677,650,790,67,95,29
"711","PIT","NL","CENT",96,1332150,776,833,73,89,15
"712","STL","NL","CENT",96,2654718,759,706,88,74,0
"713","ATL","NL","EAST",96,2901242,773,648,96,66,0
"714","CIN","NL","CENT",96,1861428,778,773,81,81,7
"715","HOU","NL","CENT",96,1975888,753,792,82,80,6
"716","LA","NL","WEST",96,3188454,703,652,90,72,1
"717","SD","NL","WEST",96,2187886,771,682,91,71,0
"718","SF","NL","WEST",96,1413922,752,862,68,94,23
"719","COL","NL","WEST",96,3891014,961,964,83,79,8
"720","FL","NL","EAST",96,1746767,688,703,80,82,16
"721","ANA","AL","WEST",97,1767330,829,794,84,78,6
"722","BAL","AL","EAST",97,3711132,812,681,98,64,0
"723","BOS","AL","EAST",97,2226136,851,857,78,84,20
"724","CLE","AL","CENT",97,3404750,868,815,86,75,0
"725","DET","AL","EAST",97,1365157,784,790,79,83,19
"726","MILA","AL","CENT",97,1444027,681,742,78,83,8
"727","NYA","AL","EAST",97,2580325,891,688,96,66,2
"728","TOR","AL","EAST",97,2589297,654,694,76,86,22
"729","CHIA","AL","CENT",97,1864782,779,833,80,81,6
"730","KC","AL","CENT",97,1517638,747,820,67,94,19
"731","MIN","AL","CENT",97,1411064,772,861,68,94,18.5
"732","OAK","AL","WEST",97,1264218,764,946,65,97,25
"733","SEA","AL","WEST",97,3192237,925,833,90,72,0
"734","TEX","AL","WEST",97,2945228,807,823,77,85,13
"735","CHIN","NL","CENT",97,2190308,687,759,68,94,16
"736","MON","NL","EAST",97,1497609,691,740,78,84,23
"737","NYN","NL","EAST",97,1766174,777,709,88,74,13
"738","PHI","NL","EAST",97,1490638,668,840,68,94,33
"739","PIT","NL","CENT",97,1657022,725,760,79,83,5
"740","STL","NL","CENT",97,2634014,689,708,73,89,11
"741","ATL","NL","EAST",97,3464488,791,581,101,61,0
"742","CIN","NL","CENT",97,1785788,651,764,76,86,8
"743","HOU","NL","CENT",97,2046781,777,660,84,78,0
"744","LA","NL","WEST",97,3319504,742,645,88,74,2
"745","SD","NL","WEST",97,2089333,795,891,76,86,14
"746","SF","NL","WEST",97,1690869,784,793,90,72,0
"747","COL","NL","WEST",97,3888453,923,908,83,79,7
"748","FL","NL","EAST",97,2364387,740,669,92,70,9
"749","TB","AL","EAST",98,2261158,620,751,63,99,51
"750","ANA","AL","WEST",98,2519107,787,783,85,77,3
"751","BAL","AL","EAST",98,3685194,817,785,79,83,35
"752","BOS","AL","EAST",98,2343947,876,729,92,70,22
"753","CLE","AL","CENT",98,3467299,850,779,89,73,0
"754","DET","AL","EAST",98,1409391,722,863,65,97,24
"755","NYA","AL","EAST",98,2919046,965,656,114,48,0
"756","TOR","AL","EAST",98,2454283,816,768,88,74,26
"757","CHIA","AL","CENT",98,1391146,861,931,80,82,9
"758","KC","AL","CENT",98,1494875,714,899,72,89,16.5
"759","MIN","AL","CENT",98,1165980,734,818,70,92,19
"760","OAK","AL","WEST",98,1232339,804,866,74,88,14
"761","SEA","AL","WEST",98,2644305,859,855,76,85,11.5
"762","TEX","AL","WEST",98,2927409,940,871,88,74,0
"763","CHIN","NL","CENT",98,2623000,831,792,90,73,12.5
"764","MON","NL","EAST",98,914717,644,783,65,97,41
"765","NYN","NL","EAST",98,2287942,706,645,88,74,18
"766","PHI","NL","EAST",98,1715702,713,808,75,87,31
"767","PIT","NL","CENT",98,1560950,650,718,69,93,33
"768","STL","NL","CENT",98,3194092,810,782,83,79,19
"769","ATL","NL","EAST",98,3361350,826,581,106,56,0
"770","CIN","NL","CENT",98,1793679,750,760,77,85,25
"771","HOU","NL","CENT",98,2450451,874,620,102,60,0
"772","LA","NL","WEST",98,3089201,669,678,83,79,15
"773","SD","NL","WEST",98,2555901,749,635,98,64,0
"774","SF","NL","WEST",98,1925634,845,739,89,74,9.5
"775","COL","NL","WEST",98,3789347,923,908,83,79,7
"776","FL","NL","EAST",98,1750395,667,923,54,108,52
"777","ARI","NL","WEST",98,3600412,665,812,65,97,33
"778","MILN","NL","CENT",98,1811548,707,812,74,88,28
"779","TB","AL","EAST",99,1562827,772,913,69,93,29
"780","ANA","AL","WEST",99,2253123,711,826,70,92,25
"781","BAL","AL","EAST",99,3433150,851,815,78,84,20
"782","BOS","AL","EAST",99,2446162,836,718,94,68,4
"783","CLE","AL","CENT",99,3468456,1009,860,97,65,0
"784","DET","AL","EAST",99,2026441,747,882,69,92,27.5
"785","NYA","AL","EAST",99,3292736,900,731,98,64,0
"786","TOR","AL","EAST",99,2163464,883,862,84,78,14
"787","CHIA","AL","CENT",99,1338851,777,870,75,86,21.5
"788","KC","AL","CENT",99,1506068,856,921,64,97,32.5
"789","MIN","AL","CENT",99,1202829,686,845,63,97,33
"790","OAK","AL","WEST",99,1434610,893,846,87,75,8
"791","SEA","AL","WEST",99,2916346,859,905,79,83,16
"792","TEX","AL","WEST",99,2771469,945,859,95,67,0
"793","CHIN","NL","CENT",99,2813854,747,920,67,95,30
"794","MON","NL","EAST",99,773277,718,853,68,94,35
"795","NYN","NL","EAST",99,2725668,853,711,97,66,6.5
"796","PHI","NL","EAST",99,1825337,841,846,77,85,26
"797","PIT","NL","CENT",99,1638023,775,782,78,83,18.5
"798","STL","NL","CENT",99,3225334,809,838,75,86,21.5
"799","ATL","NL","EAST",99,3284897,840,661,103,59,0
"800","CIN","NL","CENT",99,2061222,865,711,96,67,1.5
"801","HOU","NL","CENT",99,2706017,823,675,97,65,0
"802","LA","NL","WEST",99,3095346,793,787,77,85,23
"803","SD","NL","WEST",99,2523538,710,781,74,88,26
"804","SF","NL","WEST",99,2078399,872,831,86,76,14
"805","COL","NL","WEST",99,3481065,906,1028,72,90,28
"806","FL","NL","EAST",99,1369421,691,852,64,98,39
"807","ARI","NL","WEST",99,3019654,908,676,100,62,0
"808","MILN","NL","CENT",99,1701796,815,886,74,87,22.5
"809","TB","AL","EAST",0,1549052,733,842,69,92,18
"810","ANA","AL","WEST",0,2066977,864,869,82,80,9.5
"811","BAL","AL","EAST",0,3295128,794,913,74,88,13.5
"812","BOS","AL","EAST",0,2586032,792,745,85,77,2.5
"813","CLE","AL","CENT",0,3456278,950,816,90,72,5
"814","DET","AL","EAST",0,2533752,823,827,79,83,16
"815","NYA","AL","EAST",0,3227657,871,814,87,74,0
"816","TOR","AL","EAST",0,1819886,861,908,83,79,4.5
"817","CHIA","AL","CENT",0,1947799,978,839,95,67,0
"818","KC","AL","CENT",0,1677915,879,930,77,85,18
"819","MIN","AL","CENT",0,1059715,748,880,69,93,26
"820","OAK","AL","WEST",0,1728888,947,813,91,70,0
"821","SEA","AL","WEST",0,3148317,907,780,91,71,0.5
"822","TEX","AL","WEST",0,2800147,848,974,71,91,20.5
"823","CHIN","NL","CENT",0,2789511,764,904,65,97,30
"824","MON","NL","EAST",0,926263,738,902,67,95,28
"825","NYN","NL","EAST",0,2800221,807,738,94,68,1
"826","PHI","NL","EAST",0,1612769,708,830,65,97,30
"827","PIT","NL","CENT",0,1748908,793,888,69,93,26
"828","STL","NL","CENT",0,3336493,887,771,95,67,0
"829","ATL","NL","EAST",0,3234301,810,714,95,67,0
"830","CIN","NL","CENT",0,2577351,825,765,85,77,10
"831","HOU","NL","CENT",0,3056139,938,944,72,90,23
"832","LA","NL","WEST",0,3010819,798,729,86,76,11
"833","SD","NL","WEST",0,2423149,752,815,76,86,21
"834","SF","NL","WEST",0,3315330,925,747,97,65,0
"835","COL","NL","WEST",0,3285710,968,897,82,80,15
"836","FL","NL","EAST",0,1218326,731,797,79,82,15.5
"837","ARI","NL","WEST",0,2942516,792,754,85,77,12
"838","MILN","NL","CENT",0,1573621,740,826,73,89,22
