MONTH,LENGTH,AFD,LNLENGTH,LNAFD
11,28.38,0.248,3.346,-1.394
11,16.57,0.052,2.808,-2.955
11,13.69,0.028,2.617,-3.572
11,17.44,0.07,2.859,-2.655
11,11.83,0.022,2.471,-3.826
11,28.13,0.187,3.337,-1.679
11,32.58,0.361,3.484,-1.02
11,15.7,0.05,2.754,-3.006
11,18.73,0.087,2.93,-2.444
11,21.52,0.128,3.069,-2.06
11,20.17,0.105,3.004,-2.254
11,16.72,0.054,2.817,-2.928
11,15.99,0.065,2.772,-2.735
11,16.85,0.061,2.824,-2.8
11,21.54,0.118,3.07,-2.138
11,13.06,0.03,2.57,-3.493
11,13.75,0.038,2.621,-3.265
11,16.42,0.058,2.799,-2.846
11,11.08,0.022,2.405,-3.808
11,13.5,0.036,2.603,-3.319
11,12.67,0.016,2.539,-4.154
11,22.56,0.128,3.116,-2.059
12,24.1,0.167,3.182,-1.788
12,24.09,0.134,3.182,-2.012
12,24.01,0.105,3.178,-2.256
12,23.42,0.145,3.154,-1.928
12,23.24,0.148,3.146,-1.913
12,24.11,0.11,3.183,-2.205
12,23.09,0.145,3.139,-1.932
12,23.82,0.15,3.171,-1.898
12,23.31,0.1,3.149,-2.3
12,24.11,0.147,3.183,-1.915
12,21.09,0.081,3.049,-2.519
12,22.53,0.137,3.115,-1.986
12,22.69,0.136,3.122,-1.998
12,22.21,0.097,3.101,-2.338
12,20.65,0.098,3.028,-2.325
12,21.91,0.126,3.087,-2.073
12,20.45,0.098,3.018,-2.325
12,22.66,0.131,3.121,-2.033
12,21.35,0.088,3.061,-2.434
12,22.75,0.135,3.125,-2.005
12,21.82,0.14,3.083,-1.967
12,22.04,0.124,3.093,-2.088
12,21.13,0.11,3.051,-2.206
12,22.24,0.133,3.102,-2.015
12,21.95,0.128,3.089,-2.055
12,22.5,0.127,3.114,-2.063
12,20.51,0.108,3.021,-2.223
12,22.88,0.135,3.13,-2.002
12,22.04,0.139,3.093,-1.974
12,22.17,0.088,3.099,-2.425
12,21.23,0.108,3.055,-2.227
12,19.64,0.102,2.978,-2.284
12,20.55,0.06,3.023,-2.812
12,20.54,0.085,3.022,-2.464
12,21.63,0.116,3.074,-2.158
12,22.3,0.126,3.105,-2.072
12,21.91,0.077,3.087,-2.564
12,22.33,0.129,3.106,-2.046
12,21.82,0.127,3.083,-2.063
12,22.56,0.124,3.116,-2.085
12,20.18,0.092,3.005,-2.386
12,21.28,0.093,3.058,-2.376
12,22.27,0.101,3.103,-2.297
12,19.74,0.079,2.983,-2.543
12,21.69,0.107,3.077,-2.236
12,21.81,0.116,3.082,-2.15
12,22.25,0.117,3.102,-2.15
12,22.04,0.133,3.093,-2.017
12,20.91,0.117,3.04,-2.147
12,20.37,0.113,3.014,-2.185
12,20.37,0.098,3.014,-2.324
12,20.03,0.079,2.997,-2.537
12,21.88,0.084,3.086,-2.475
12,21.9,0.107,3.086,-2.24
12,21.61,0.12,3.073,-2.121
12,20.01,0.103,2.996,-2.273
12,20.02,0.109,2.997,-2.22
12,20.54,0.066,3.022,-2.721
3,11.2,0.012,2.416,-4.39
3,11,0.013,2.398,-4.32
3,10.65,0.014,2.366,-4.29
3,10.3,0.011,2.332,-4.538
3,10.45,0.013,2.347,-4.366
3,9.78,0.009,2.28,-4.722
3,10.53,0.011,2.354,-4.501
3,10.36,0.011,2.338,-4.547
3,9.89,0.01,2.292,-4.595
3,9.57,0.009,2.259,-4.733
3,9.77,0.009,2.279,-4.667
3,10,0.01,2.303,-4.656
3,10.05,0.011,2.308,-4.556
3,9.62,0.009,2.264,-4.733
3,9.9,0.009,2.293,-4.699
3,10.23,0.01,2.325,-4.605
9,16.31,0.039,2.792,-3.244
9,15.56,0.054,2.745,-2.915
9,16.07,0.033,2.777,-3.408
9,16.03,0.052,2.774,-2.962
9,15.78,0.031,2.759,-3.471
9,15.52,0.036,2.742,-3.319
9,15.83,0.032,2.762,-3.445
9,15.86,0.031,2.764,-3.461
9,8.6,0.004,2.152,-5.521
9,8.67,0.006,2.16,-5.051
9,8.68,0.006,2.161,-5.099
9,9.29,0.007,2.229,-4.948
9,8.86,0.007,2.182,-4.948
9,8.93,0.006,2.189,-5.051
9,9.26,0.006,2.226,-5.099
2,17.77,0.065,2.878,-2.727
2,20.93,0.114,3.041,-2.171
2,21.76,0.138,3.08,-1.981
2,17.75,0.062,2.876,-2.781
2,21.55,0.112,3.07,-2.188
2,19.77,0.094,2.984,-2.369
2,20.08,0.099,3,-2.317
2,19.77,0.104,2.984,-2.266
2,20.83,0.116,3.036,-2.158
2,22.7,0.135,3.122,-2.002
2,22.98,0.138,3.135,-1.979
2,19.94,0.098,2.993,-2.328
2,20.76,0.119,3.033,-2.126
2,14.7,0.034,2.688,-3.37
2,22.17,0.153,3.099,-1.877
2,22.36,0.121,3.107,-2.111
2,21.08,0.096,3.048,-2.339
2,17.14,0.053,2.841,-2.941
2,17.44,0.056,2.859,-2.886
2,23.55,0.175,3.159,-1.741
2,23.81,0.161,3.17,-1.824
2,23.76,0.162,3.168,-1.823
2,24.78,0.164,3.21,-1.809
2,18.54,0.097,2.92,-2.336
2,19.13,0.08,2.951,-2.524
2,19.35,0.091,2.963,-2.397
2,18.59,0.068,2.923,-2.687
2,24.06,0.164,3.181,-1.811
2,17.07,0.056,2.837,-2.877
2,19.82,0.089,2.987,-2.414
2,19.57,0.077,2.974,-2.559
2,17.75,0.065,2.876,-2.74
2,18.77,0.078,2.932,-2.556
2,17.93,0.066,2.886,-2.717
2,23.19,0.14,3.144,-1.963
2,16.33,0.047,2.793,-3.055
2,22.82,0.148,3.128,-1.912
2,24.79,0.173,3.21,-1.757
2,22.8,0.147,3.127,-1.917
2,19.09,0.077,2.949,-2.567
2,19.31,0.085,2.961,-2.462
2,18.79,0.072,2.933,-2.626
2,17,0.042,2.833,-3.17
2,17.84,0.069,2.881,-2.669
2,18.3,0.071,2.907,-2.645
2,17.8,0.069,2.879,-2.671
2,17.71,0.064,2.874,-2.755
2,20.82,0.098,3.036,-2.324
2,21.5,0.121,3.068,-2.108
2,20.93,0.116,3.041,-2.155
2,20.87,0.132,3.038,-2.024
2,23.83,0.075,3.171,-2.589
2,21.09,0.104,3.049,-2.26
2,21.43,0.1,3.065,-2.306
2,26.5,0.236,3.277,-1.446
2,26.66,0.213,3.283,-1.546
2,26.9,0.245,3.292,-1.406
2,26.08,0.203,3.261,-1.596
2,22.52,0.115,3.114,-2.165
2,22.71,0.155,3.123,-1.862
2,22.34,0.13,3.106,-2.039
2,22.21,0.115,3.101,-2.164
2,22.05,0.119,3.093,-2.128
2,22.87,0.136,3.13,-1.995
2,22.27,0.124,3.103,-2.087
2,22.77,0.142,3.125,-1.949
2,22.78,0.146,3.126,-1.925
2,22.89,0.099,3.131,-2.313
2,21.98,0.119,3.09,-2.127
2,22.25,0.127,3.102,-2.065
2,22.02,0.13,3.092,-2.039
2,22.66,0.136,3.121,-1.994
2,25.67,0.195,3.245,-1.635
2,25.29,0.196,3.23,-1.628
2,25.56,0.186,3.241,-1.68
2,26.03,0.207,3.259,-1.573
2,25.82,0.208,3.251,-1.568
2,20.49,0.118,3.02,-2.136
2,20.28,0.095,3.01,-2.353
2,20.29,0.095,3.01,-2.352
2,19.89,0.085,2.99,-2.465
2,20.25,0.106,3.008,-2.244
2,20.05,0.114,2.998,-2.176
2,20.53,0.085,3.022,-2.464
2,30.32,0.366,3.412,-1.006
2,27.42,0.252,3.311,-1.38
2,30.85,0.312,3.429,-1.165
2,34.19,0.565,3.532,-0.572
2,31.63,0.42,3.454,-0.868
2,19.74,0.097,2.983,-2.329
2,24.07,0.154,3.181,-1.871
2,24.66,0.155,3.205,-1.862
2,25.43,0.199,3.236,-1.613
2,30.59,0.314,3.421,-1.157
2,24.3,0.147,3.19,-1.916
2,23.63,0.133,3.163,-2.018
2,24.87,0.171,3.214,-1.765
2,23.45,0.145,3.155,-1.932
2,25.15,0.172,3.225,-1.76
2,31.32,0.338,3.444,-1.086
2,30.37,0.336,3.413,-1.092
2,24.65,0.161,3.205,-1.829
2,24.03,0.17,3.179,-1.771
2,25.42,0.198,3.236,-1.622
2,24.12,0.153,3.183,-1.874
2,22.94,0.142,3.133,-1.951
2,26.45,0.224,3.275,-1.497
2,19.2,0.092,2.955,-2.389
2,24.91,0.163,3.215,-1.814
2,24.54,0.123,3.2,-2.1
2,18.74,0.077,2.931,-2.569
2,14.19,0.029,2.653,-3.527
2,16,0.047,2.773,-3.053
2,21.62,0.126,3.074,-2.07
2,26.69,0.201,3.284,-1.603
2,29.13,0.342,3.372,-1.074
2,23.24,0.147,3.146,-1.92
2,28.83,0.271,3.361,-1.307
2,24.35,0.175,3.193,-1.746
2,22.39,0.162,3.109,-1.822
2,20.05,0.086,2.998,-2.456
2,17.26,0.059,2.848,-2.825
2,19.29,0.072,2.96,-2.638
2,23.3,0.14,3.148,-1.965
2,23.13,0.151,3.141,-1.888
2,17.23,0.059,2.847,-2.83
2,16.41,0.056,2.798,-2.879
2,16.76,0.061,2.819,-2.8
2,15.2,0.039,2.721,-3.237
2,17.11,0.063,2.84,-2.757
2,19.06,0.089,2.948,-2.421
2,15.75,0.045,2.757,-3.106
2,16.43,0.048,2.799,-3.037
4,30.25,0.274,3.409,-1.295
4,23.05,0.11,3.138,-2.21
4,26.89,0.171,3.292,-1.765
4,19.38,0.06,2.964,-2.817
4,23.76,0.094,3.168,-2.367
4,23.61,0.117,3.162,-2.146
4,24.36,0.127,3.193,-2.067
4,27.41,0.198,3.311,-1.617
4,29.01,0.25,3.368,-1.387
4,26.45,0.209,3.275,-1.565
4,24.89,0.166,3.214,-1.794
4,25.36,0.148,3.233,-1.909
4,22.5,0.091,3.114,-2.398
4,22.76,0.115,3.125,-2.165
4,27.09,0.158,3.299,-1.847
4,24.13,0.152,3.183,-1.886
4,25.51,0.147,3.239,-1.919
4,23.68,0.131,3.165,-2.029
4,24.91,0.132,3.215,-2.022
4,22.9,0.129,3.131,-2.048
4,23.2,0.136,3.144,-1.999
4,11.67,0.015,2.457,-4.22
4,10.21,0.011,2.323,-4.519
4,9.93,0.009,2.296,-4.711
4,9.95,0.009,2.298,-4.722
4,19.78,0.095,2.985,-2.353
4,8.16,0.004,2.099,-5.426
4,9.02,0.007,2.199,-5.036
4,8.15,0.006,2.098,-5.185
4,7.46,0.004,2.01,-5.449
4,7.55,0.004,2.022,-5.547
4,7.13,0.003,1.964,-5.952
4,5.99,0.002,1.79,-6.266
4,5.66,0.002,1.733,-6.215
4,5.82,0.002,1.761,-6.502
4,10.38,0.01,2.34,-4.585
4,25.01,0.143,3.219,-1.948
4,25.66,0.159,3.245,-1.837
4,24.09,0.12,3.182,-2.12
4,12.32,0.019,2.511,-3.942
4,11.66,0.017,2.456,-4.069
4,11.06,0.015,2.403,-4.186
4,12.12,0.018,2.495,-3.995
4,13.85,0.026,2.628,-3.642
4,11.69,0.017,2.459,-4.08
4,11.47,0.014,2.44,-4.283
4,10.01,0.011,2.304,-4.538
4,9.99,0.01,2.302,-4.646
4,14.21,0.032,2.654,-3.427
4,13.92,0.027,2.633,-3.627
4,14.71,0.031,2.689,-3.48
4,13.97,0.025,2.637,-3.693
4,14.33,0.028,2.662,-3.576
4,12.89,0.024,2.556,-3.751
4,12.88,0.021,2.556,-3.868
4,13.77,0.025,2.622,-3.697
4,9.35,0.009,2.235,-4.667
4,12.85,0.023,2.553,-3.781
4,13.13,0.019,2.575,-3.942
4,11.42,0.015,2.435,-4.186
4,12.17,0.015,2.499,-4.167
4,10.24,0.012,2.326,-4.431
4,12.26,0.015,2.506,-4.173
4,12.36,0.02,2.514,-3.932
4,12.36,0.019,2.514,-3.963
4,10.31,0.013,2.333,-4.313
4,11.9,0.014,2.477,-4.276
4,12.01,0.017,2.486,-4.075
4,12.25,0.016,2.506,-4.11
4,12.36,0.019,2.514,-3.937
4,12.56,0.019,2.531,-3.974
4,12.25,0.019,2.506,-3.99
4,11.84,0.016,2.471,-4.141
4,12.36,0.02,2.514,-3.897
4,12.86,0.022,2.554,-3.83
4,12.15,0.018,2.497,-4.023
4,15.53,0.041,2.743,-3.194
4,13.01,0.021,2.566,-3.849
4,14.69,0.031,2.687,-3.458
4,14.65,0.03,2.684,-3.497
4,14.89,0.032,2.701,-3.442
4,14.61,0.031,2.682,-3.461
4,13.87,0.031,2.63,-3.464
4,13.56,0.025,2.607,-3.689
4,13.72,0.027,2.619,-3.601
4,14.15,0.027,2.65,-3.601
4,13.55,0.03,2.606,-3.52
4,14.47,0.035,2.672,-3.341
4,23.15,0.107,3.142,-2.231
4,22.12,0.108,3.096,-2.229
4,13.75,0.026,2.621,-3.638
4,13.48,0.028,2.601,-3.576
4,14.41,0.03,2.668,-3.513
4,15.02,0.037,2.709,-3.305
4,13.44,0.026,2.598,-3.638
4,12.8,0.02,2.549,-3.907
4,13.08,0.023,2.571,-3.785
4,13.99,0.024,2.638,-3.713
4,13.4,0.028,2.595,-3.59
4,14.87,0.035,2.699,-3.352
4,12.95,0.021,2.561,-3.887
4,12.79,0.024,2.549,-3.747
4,13.92,0.029,2.633,-3.54
4,14.24,0.03,2.656,-3.513
4,15.25,0.035,2.725,-3.364
4,14.52,0.034,2.676,-3.367
4,13.97,0.027,2.637,-3.597
4,12.55,0.022,2.53,-3.817
4,13.43,0.029,2.597,-3.547
4,14.1,0.032,2.646,-3.455
4,12.84,0.022,2.553,-3.821
4,12.98,0.022,2.563,-3.821
4,13.59,0.028,2.609,-3.561
4,13.93,0.027,2.634,-3.623
4,14.99,0.033,2.707,-3.408
4,10.61,0.012,2.362,-4.44
4,8.41,0.007,2.129,-5.021
4,14.16,0.031,2.65,-3.487
4,13.75,0.024,2.621,-3.713
4,13.03,0.021,2.567,-3.849
4,11.02,0.014,2.4,-4.305
4,10.08,0.01,2.311,-4.585
4,9.5,0.009,2.251,-4.744
4,11.21,0.016,2.417,-4.129
4,11.43,0.015,2.436,-4.227
4,15.4,0.029,2.734,-3.547
4,10.19,0.011,2.321,-4.492
4,10.43,0.01,2.345,-4.625
4,10.5,0.01,2.351,-4.585
4,11.45,0.013,2.438,-4.351
4,10.69,0.012,2.369,-4.448
4,11.3,0.014,2.425,-4.262
4,10.97,0.011,2.395,-4.465
4,7.7,0.004,2.041,-5.449
4,13.36,0.022,2.592,-3.83
4,12.91,0.017,2.558,-4.057
4,12.84,0.024,2.553,-3.734
4,12.62,0.016,2.535,-4.129
4,13.35,0.021,2.592,-3.878
4,11.84,0.017,2.471,-4.057
4,11.63,0.014,2.454,-4.247
4,11.71,0.014,2.46,-4.269
4,12.13,0.017,2.496,-4.086
4,8.6,0.006,2.152,-5.099
4,9.3,0.007,2.23,-5.036
4,14.21,0.026,2.654,-3.654
4,13.84,0.028,2.628,-3.558
4,13.58,0.025,2.609,-3.697
4,13.9,0.027,2.632,-3.594
4,13.84,0.023,2.628,-3.777
4,13.9,0.023,2.632,-3.751
4,13.9,0.026,2.632,-3.665
4,13.78,0.023,2.623,-3.772
4,13.53,0.02,2.605,-3.927
