"","Year","Name","MasFem","MinPressure_before","Minpressure_Updated_2014","Gender_MF","Category","alldeaths","NDAM","Elapsed_Yrs","Source","ZMasFem","ZMinPressure_A","ZNDAM"
"1",1950,"Easy",6.777778,958,960,"Female","3",2,1590,63,"MWR",-0.00093549634444668,-0.356358232768273,-0.439132871133272
"2",1950,"King",1.388889,955,955,"Male","3",4,5350,63,"MWR",-1.67075835453771,-0.511247795357322,-0.148428154207445
"3",1952,"Able",3.833333,985,985,"Male","1",3,150,61,"MWR",-0.913313087661111,1.03764783053317,-0.55046659250912
"4",1953,"Barbara",9.833333,987,987,"Female","1",1,58,60,"MWR",0.945871087251304,1.14090753892587,-0.557579580263688
"5",1953,"Florence",8.333333,985,985,"Female","1",0,15,60,"MWR",0.4810750435232,1.03764783053317,-0.560904128888106
"6",1954,"Carol",8.111111,960,960,"Female","3",60,19321,59,"MWR",0.412216439236969,-0.253098524375573,0.93174088839115
"7",1954,"Edna",8.555556,954,954,"Female","3",20,3230,59,"MWR",0.549933957673461,-0.562877649553671,-0.312336132899667
"8",1954,"Hazel",9.444444,938,938,"Female","4",20,24260,59,"MWR",0.825368374818385,-1.38895531669527,1.31360008969345
"9",1955,"Connie",8.5,962,962,"Female","3",0,2030,58,"MWR",0.532719151669888,-0.149838815982874,-0.405114234046207
"11",1955,"Ione",5.944444,960,960,"Male","3",7,6200,58,"MWR",-0.259155727213857,-0.253098524375573,-0.0827103325619793
"12",1956,"Flossy",7,975,975,"Female","2",15,1540,57,"MWR",0.0679231079417846,0.521349288569672,-0.442998625347711
"13",1958,"Helene",9.888889,946,946,"Female","3",1,540,55,"MWR",0.963085893254877,-0.975916483124469,-0.520313709636494
"14",1959,"Debra",9.888889,984,984,"Female","1",0,430,54,"MWR",0.963085893254877,0.98601797633682,-0.528818368908261
"15",1959,"Gracie",9.777778,950,950,"Female","3",22,510,54,"MWR",0.928656591111761,-0.76939706633907,-0.522633162165158
"16",1960,"Donna",9.277778,930,930,"Female","4",50,53270,53,"http://www.nhc.noaa.gov/pdf/NWS-TPC-5.pdf",0.773724576535726,-1.80199415026606,3.55651068491107
"17",1960,"Ethel",8.722222,981,981,"Female","1",0,35,53,"MWR",0.60157775595612,0.831128413747771,-0.55935782720233
"18",1961,"Carla",9.5,931,931,"Female","4",46,15850,52,"MWR",0.842583180821958,-1.75036429606971,0.663380230824782
"19",1963,"Cindy",9.944444,996,996,"Female","1",3,300,50,"MWR",0.98030038939442,1.60557622669302,-0.538869329865803
"20",1964,"Cleo",7.944444,968,968,"Female","2",3,6450,49,"MWR",0.360572331090281,0.159940309195224,-0.0633815614897834
"21",1964,"Dora",9.333333,966,966,"Female","2",5,16260,49,"MWR",0.79093907267527,0.0566806008025251,0.695079415383184
"22",1964,"Hilda",8.833333,950,950,"Female","3",37,2770,49,"MWR",0.636007058099235,-0.76939706633907,-0.347901071672507
"23",1964,"Isbell",9.444444,974,974,"Female","2",3,800,49,"MWR",0.825368374818385,0.469719434373323,-0.500211787721411
"24",1965,"Betsy",8.333333,948,948,"Female","3",75,20000,48,"MWR",0.4810750435232,-0.87265677473177,0.984237830623235
"25",1966,"Alma",8.777778,982,982,"Female","2",6,730,47,"MWR",0.618792561959692,0.88275826794412,-0.505623843621626
"26",1966,"Inez",8.277778,983,983,"Female","1",3,99,47,"MWR",0.463860547383657,0.93438812214047,-0.554409661807848
"27",1967,"Beulah",7.277778,950,950,"Female","3",15,5060,46,"MWR",0.153996518231588,-0.76939706633907,-0.170849528651193
"28",1968,"Gladys",8.944444,977,977,"Female","2",3,800,45,"MWR",0.670436360242351,0.624608996962372,-0.500211787721411
"29",1969,"Camille",9.055556,909,909,"Female","5",256,23040,44,"MWR",0.704865972249495,-2.88622108838941,1.21927568686114
"30",1970,"Celia",9.444444,945,945,"Female","3",22,6870,43,"WIKI (http://en.wikipedia.org/wiki/Hurricane_Celia)",0.825368374818385,-1.02754633732082,-0.0309092260884943
"31",1971,"Edith",8.5,978,978,"Female","2",0,300,42,"MWR",0.532719151669888,0.676238851158722,-0.538869329865803
"32",1971,"Fern",7.388889,979,979,"Female","1",2,500,42,"MWR",0.188425820374704,0.727868705355071,-0.523406313008046
"33",1971,"Ginger",10,995,995,"Female","1",0,200,42,"MWR",0.997515195397992,1.55394637249667,-0.546600838294681
"35",1974,"Carmen",8.722222,952,952,"Female","3",1,1180,39,"MWR",0.60157775595612,-0.666137357946371,-0.470832055691673
"36",1975,"Eloise",8.944444,955,955,"Female","3",21,6190,38,"MWR",0.670436360242351,-0.511247795357322,-0.0834834834048671
"37",1976,"Belle",10.444445,980,980,"Female","1",5,570,37,"MWR",1.13523271383448,0.779498559551421,-0.517994257107831
"38",1977,"Babe",6.888889,995,995,"Female","1",0,66,36,"MWR",0.0334938057986689,1.55394637249667,-0.556961059589378
"39",1979,"Bob",1.666667,986,986,"Male","1",1,70,34,"MWR",-1.58468494424791,1.08927768472952,-0.556651799252223
"40",1979,"David",1.722222,970,970,"Male","2",15,2700,34,"MWR",-1.56747044810837,0.263200017587924,-0.353313127572722
"41",1979,"Frederic",2.5,946,946,"Male","3",5,12770,34,"MWR",-1.32646502324253,-0.975916483124469,0.425249771215329
"42",1980,"Allen",2.666667,945,945,"Male","3",2,2130,33,"MWR",-1.27482091509584,-1.02754633732082,-0.397382725617329
"43",1983,"Alicia",9.833333,962,962,"Female","3",21,10400,30,"MWR",0.945871087251304,-0.149838815982874,0.242013021450912
"44",1984,"Diana",9.944444,949,949,"Female","2",3,410,29,"MWR",0.98030038939442,-0.82102692053542,-0.530364670594036
"45",1985,"Bob",1.666667,1002,1003,"Male","1",0,130,28,"MWR",-1.58468494424791,1.91535535187111,-0.552012894194896
"46",1985,"Danny",2.222222,987,987,"Male","1",1,160,28,"MWR",-1.41253843353233,1.14090753892587,-0.549693441666232
"47",1985,"Elena",9.722222,959,959,"Female","3",4,4180,28,"MWR",0.911441785108189,-0.304728378571923,-0.238886802825322
"48",1985,"Gloria",9.5,942,942,"Female","3",8,3020,28,"MWR",0.842583180821958,-1.18243589990987,-0.328572300600311
"49",1985,"Juan",1.944444,971,971,"Male","1",12,4730,28,"MWR",-1.49861184382213,0.314829871784274,-0.196363506466491
"50",1985,"Kate",9.666667,967,967,"Female","2",5,1310,28,"MWR",0.894227288968646,0.108310454998875,-0.460781094734131
"51",1986,"Bonnie",9.388889,990,990,"Female","1",3,6,27,"MWR",0.808153878678842,1.29579710151492,-0.561599964646705
"52",1986,"Charley",2.888889,990,990,"Male","1",5,58,27,"MWR",-1.20596231080961,1.29579710151492,-0.557579580263688
"53",1987,"Floyd",1.833333,993,993,"Male","1",0,1,26,"MWR",-1.53304114596525,1.45068666410397,-0.561986540068149
"54",1988,"Florence",8.333333,984,984,"Female","1",1,4,25,"MWR",0.4810750435232,0.98601797633682,-0.561754594815283
"55",1989,"Chantal",9.055556,986,986,"Female","1",13,290,24,"MWR",0.704865972249495,1.08927768472952,-0.53964248070869
"56",1989,"Hugo",2.888889,934,934,"Male","4",21,20020,24,"MWR",-1.20596231080961,-1.59547473348067,0.98578413230901
"57",1989,"Jerry",2.333333,983,983,"Male","1",3,230,24,"MWR",-1.37810913138921,0.93438812214047,-0.544281385766017
"58",1991,"Bob",1.666667,962,962,"Male","2",15,3620,22,"MWR",-1.58468494424791,-0.149838815982874,-0.282183250027041
"59",1992,"Andrew",2.222222,922,922,"Male","5",62,66730,21,"MWR",-1.41253843353233,-2.21503298383686,4.59717171943809
"60",1993,"Emily",9.833333,960,961,"Female","3",3,96,20,"MWR",0.945871087251304,-0.253098524375573,-0.554641607060714
"61",1995,"Erin",7.222222,973,973,"Female","2",6,1650,18,"MWR",0.136781712228016,0.418089580176973,-0.434493966075945
"62",1995,"Opal",8.5,942,942,"Female","3",9,7550,18,"MWR",0.532719151669888,-1.18243589990987,0.0216650312278786
"63",1996,"Bertha",8.5,974,974,"Female","2",8,700,17,"MWR",0.532719151669888,0.469719434373323,-0.507943296150289
"64",1996,"Fran",7.166667,954,954,"Female","3",26,8260,17,"MWR",0.119567216088473,-0.562877649553671,0.076558741072915
"65",1997,"Danny",2.222222,984,984,"Male","1",10,200,16,"MWR",-1.41253843353233,0.98601797633682,-0.546600838294681
"66",1998,"Bonnie",9.388889,964,964,"Female","2",3,1650,15,"MWR",0.808153878678842,-0.0465791075901743,-0.434493966075945
"67",1998,"Earl",1.888889,987,987,"Male","1",3,160,15,"MWR",-1.51582633996168,1.14090753892587,-0.549693441666232
"68",1998,"Georges",2.277778,964,964,"Male","2",1,3870,15,"MWR",-1.39532362752876,-0.0465791075901743,-0.262854478954845
"69",1999,"Bret",2.333333,951,951,"Male","3",0,94,14,"MWR",-1.37810913138921,-0.71776721214272,-0.554796237229292
"70",1999,"Floyd",1.833333,956,956,"Male","2",56,8130,14,"MWR",-1.53304114596525,-0.459617941160972,0.0665077801153731
"71",1999,"Irene",9.277778,987,964,"Female","1",8,1430,14,"MWR",0.773724576535726,1.14090753892587,-0.451503284619477
"72",2002,"Lili",10.333333,963,963,"Female","1",2,1260,11,"MWR",1.10080310182734,-0.098208961786524,-0.46464684894857
"73",2003,"Claudette",9.166667,979,979,"Female","1",3,250,10,"MWR",0.739295274392611,0.727868705355071,-0.542735084080242
"74",2003,"Isabel",9.388889,957,957,"Female","2",51,4980,10,"MWR",0.808153878678842,-0.407988086964622,-0.177034735394295
"75",2004,"Alex",4.166666,972,972,"Male","1",1,5,9,"MWR",-0.810025181231764,0.366459725980623,-0.561677279730994
"76",2004,"Charley",2.888889,941,941,"Male","4",10,20510,9,"MWR",-1.20596231080961,-1.23406575410622,1.02366852361051
"77",2004,"Frances",6,960,960,"Female","2",7,12620,9,"MWR",-0.241940921210285,-0.253098524375573,0.413652508572011
"78",2004,"Gaston",2.666667,985,985,"Male","1",8,170,9,"MWR",-1.27482091509584,1.03764783053317,-0.548920290823344
"79",2004,"Ivan",1.055556,946,946,"Male","3",25,18590,9,"MWR",-1.77404626096706,-0.975916483124469,0.87522356177605
"80",2004,"Jeanne",8.5,950,950,"Female","3",5,10210,9,"MWR",0.532719151669888,-0.76939706633907,0.227323155436043
"81",2005,"Cindy",9.944444,991,991,"Female","1",1,350,8,"MWR",0.98030038939442,1.34742695571127,-0.535003575651363
"82",2005,"Dennis",2.444444,946,946,"Male","3",15,2650,8,"MWR",-1.3436798292461,-0.975916483124469,-0.357178881787161
"83",2005,"Ophelia",9.166667,982,982,"Female","1",1,91,8,"MWR",0.739295274392611,0.88275826794412,-0.555028182482158
"84",2005,"Rita",9.5,937,937,"Female","3",62,10690,8,"MWR",0.842583180821958,-1.44058517089162,0.264434395894659
"85",2005,"Wilma",8.611111,950,950,"Female","3",5,25960,8,"MWR",0.567148453813004,-0.76939706633907,1.44503573298438
"86",2007,"Humberto",2.388889,985,985,"Male","1",1,51,6,"MWR",-1.36089432538564,1.03764783053317,-0.55812078585371
"87",2008,"Dolly",9.833333,963,967,"Female","1",1,1110,5,"MWR",0.945871087251304,-0.098208961786524,-0.476244111591888
"88",2008,"Gustav",1.722222,951,954,"Male","2",52,4360,5,"MWR",-1.56747044810837,-0.71776721214272,-0.224970087653341
"89",2008,"Ike",1.888889,935,950,"Male","2",84,20370,5,"MWR",-1.51582633996168,-1.54384487928432,1.01284441181008
"90",2011,"Irene",9.277778,952,952,"Female","1",41,7110,2,"MWR",0.773724576535726,-0.666137357946371,-0.0123536058591862
"91",2012,"Isaac",1.944444,965,966,"Male","1",5,24000,1,"MWR",-1.49861184382213,0.00505074660617536,1.29349816777837
"92",2012,"Sandy",9,945,942,"Female","2",159,75000,1,"MWR",0.687651166245923,-1.02754633732082,5.23656746650633
